"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2018,"Marseille","Ligue 1","team",26,38,757,505,331,340,86,291,755,38.5,464,392,102,290,448,1205,797,17,"https://fbref.com/en/squads/5725cc7b/2017-2018/Marseille-Stats"
2018,"Marseille","Ligue 1","opponent",26,38,713,447,387,261,65,252,786,32.1,534,411,162,249,473,1186,948,26,"https://fbref.com/en/squads/5725cc7b/2017-2018/Marseille-Stats"
2018,"Metz","Ligue 1","team",36,38,707,458,359,281,67,252,682,37,430,375,94,281,511,1218,848,12,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Metz","Ligue 1","opponent",36,38,580,416,292,234,54,267,623,42.9,356,396,98,298,433,1013,929,13,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Milan","Serie A","team",24,38,533,376,244,214,75,181,466,38.8,285,422,103,319,354,887,855,20,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Milan","Serie A","opponent",24,38,541,346,264,225,52,152,450,33.8,298,437,143,294,432,973,1057,10,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Monaco","Ligue 1","team",32,38,719,433,283,347,89,263,700,37.6,437,394,107,287,497,1216,1000,9,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Monaco","Ligue 1","opponent",32,38,672,451,353,269,50,288,639,45.1,351,350,121,229,427,1099,929,28,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Montpellier","Ligue 1","team",23,38,680,450,307,303,70,229,589,38.9,360,343,97,246,499,1179,879,16,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Montpellier","Ligue 1","opponent",23,38,633,430,343,238,52,241,623,38.7,382,367,107,260,501,1134,968,14,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
